passengerid,survived,pclass,age,sibsp,parch,ticket,fare,cabin,sex nature,embarked S,embarked C,embarked Q
893,1,3,47.0,1,0,363272,7.0,B57 B59 B63 B66,0,1,0,0
894,0,2,62.0,0,0,240276,9.6875,B57 B59 B63 B66,1,0,0,1
895,0,3,27.0,0,0,315154,8.6625,B57 B59 B63 B66,1,1,0,0
896,1,3,22.0,1,1,3101298,12.2875,B57 B59 B63 B66,0,1,0,0
897,0,3,14.0,0,0,7538,9.225,B57 B59 B63 B66,1,1,0,0
898,1,3,30.0,0,0,330972,7.6292,B57 B59 B63 B66,0,0,0,1
899,0,2,26.0,1,1,248738,29.0,B57 B59 B63 B66,1,1,0,0
900,1,3,18.0,0,0,2657,7.2292,B57 B59 B63 B66,0,0,1,0
901,0,3,21.0,2,0,A/4 48871,24.15,B57 B59 B63 B66,1,1,0,0
903,0,1,46.0,0,0,694,26.0,B57 B59 B63 B66,1,1,0,0
904,1,1,23.0,1,0,21228,82.2667,B45,0,1,0,0
905,0,2,63.0,1,0,24065,26.0,B57 B59 B63 B66,1,1,0,0
906,1,1,47.0,1,0,W.E.P. 5734,61.175,E31,0,1,0,0
907,1,2,24.0,1,0,SC/PARIS 2167,27.7208,B57 B59 B63 B66,0,0,1,0
908,0,2,35.0,0,0,233734,12.35,B57 B59 B63 B66,1,0,0,1
909,0,3,21.0,0,0,2692,7.225,B57 B59 B63 B66,1,0,1,0
910,1,3,27.0,1,0,STON/O2. 3101270,7.925,B57 B59 B63 B66,0,1,0,0
911,1,3,45.0,0,0,2696,7.225,B57 B59 B63 B66,0,0,1,0
912,0,1,55.0,1,0,PC 17603,59.4,B57 B59 B63 B66,1,0,1,0
913,0,3,9.0,0,1,C 17368,3.1708,B57 B59 B63 B66,1,1,0,0
915,0,1,21.0,0,1,PC 17597,61.3792,B57 B59 B63 B66,1,0,1,0
916,1,1,48.0,1,3,PC 17608,262.375,B57 B59 B63 B66,0,0,1,0
917,0,3,50.0,1,0,A/5. 3337,14.5,B57 B59 B63 B66,1,1,0,0
918,1,1,22.0,0,1,113509,61.9792,B36,0,0,1,0
920,0,1,41.0,0,0,113054,30.5,A21,1,1,0,0
922,0,2,50.0,1,0,SC/AH 3085,26.0,B57 B59 B63 B66,1,1,0,0
923,0,2,24.0,2,0,C.A. 31029,31.5,B57 B59 B63 B66,1,1,0,0
924,1,3,33.0,1,2,C.A. 2315,20.575,B57 B59 B63 B66,0,1,0,0
926,0,1,30.0,1,0,13236,57.75,C78,1,0,1,0
929,1,3,21.0,0,0,315087,8.6625,B57 B59 B63 B66,0,1,0,0
930,0,3,25.0,0,0,345768,9.5,B57 B59 B63 B66,1,1,0,0
932,0,3,39.0,0,1,349256,13.4167,B57 B59 B63 B66,1,0,1,0
934,0,3,41.0,0,0,SOTON/O.Q. 3101263,7.85,B57 B59 B63 B66,1,1,0,0
935,1,2,30.0,0,0,237249,13.0,B57 B59 B63 B66,0,1,0,0
936,1,1,45.0,1,0,11753,52.5542,D19,0,1,0,0
937,0,3,25.0,0,0,STON/O 2. 3101291,7.925,B57 B59 B63 B66,1,1,0,0
938,0,1,45.0,0,0,PC 17594,29.7,A9,1,0,1,0
940,1,1,60.0,0,0,11813,76.2917,D15,0,0,1,0
941,1,3,36.0,0,2,C.A. 37671,15.9,B57 B59 B63 B66,0,1,0,0
942,0,1,24.0,1,0,13695,60.0,C31,1,1,0,0
943,0,2,27.0,0,0,SC/PARIS 2168,15.0333,B57 B59 B63 B66,1,0,1,0
944,1,2,20.0,2,1,29105,23.0,B57 B59 B63 B66,0,1,0,0
945,1,1,28.0,3,2,19950,263.0,C23 C25 C27,0,1,0,0
947,0,3,10.0,4,1,382652,29.125,B57 B59 B63 B66,1,0,0,1
948,0,3,35.0,0,0,349230,7.8958,B57 B59 B63 B66,1,1,0,0
949,0,3,25.0,0,0,348122,7.65,F G63,1,1,0,0
951,1,1,36.0,0,0,PC 17608,262.375,B61,0,0,1,0
952,0,3,17.0,0,0,349232,7.8958,B57 B59 B63 B66,1,1,0,0
953,0,2,32.0,0,0,237216,13.5,B57 B59 B63 B66,1,1,0,0
954,0,3,18.0,0,0,347090,7.75,B57 B59 B63 B66,1,1,0,0
955,1,3,22.0,0,0,334914,7.725,B57 B59 B63 B66,0,0,0,1
956,0,1,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,1,0,1,0
958,1,3,18.0,0,0,330963,7.8792,B57 B59 B63 B66,0,0,0,1
959,0,1,47.0,0,0,113796,42.4,B57 B59 B63 B66,1,1,0,0
960,0,1,31.0,0,0,2543,28.5375,C53,1,0,1,0
961,1,1,60.0,1,4,19950,263.0,C23 C25 C27,0,1,0,0
962,1,3,24.0,0,0,382653,7.75,B57 B59 B63 B66,0,0,0,1
963,0,3,21.0,0,0,349211,7.8958,B57 B59 B63 B66,1,1,0,0
964,1,3,29.0,0,0,3101297,7.925,B57 B59 B63 B66,0,1,0,0
966,1,1,35.0,0,0,113503,211.5,C130,0,0,1,0
969,1,1,55.0,2,0,11770,25.7,C101,0,1,0,0
970,0,2,30.0,0,0,248744,13.0,B57 B59 B63 B66,1,1,0,0
971,1,3,24.0,0,0,368702,7.75,B57 B59 B63 B66,0,0,0,1
972,0,3,6.0,1,1,2678,15.2458,B57 B59 B63 B66,1,0,1,0
973,0,1,67.0,1,0,PC 17483,221.7792,C55 C57,1,1,0,0
974,0,1,49.0,0,0,19924,26.0,B57 B59 B63 B66,1,1,0,0
978,1,3,27.0,0,0,330844,7.8792,B57 B59 B63 B66,0,0,0,1
979,1,3,18.0,0,0,A/4 31416,8.05,B57 B59 B63 B66,0,1,0,0
981,0,2,2.0,1,1,29103,23.0,B57 B59 B63 B66,1,1,0,0
982,1,3,22.0,1,0,347072,13.9,B57 B59 B63 B66,0,1,0,0
984,1,1,27.0,1,2,F.C. 12750,52.0,B71,0,1,0,0
986,0,1,25.0,0,0,13905,26.0,B57 B59 B63 B66,1,0,1,0
987,0,3,25.0,0,0,350033,7.7958,B57 B59 B63 B66,1,1,0,0
988,1,1,76.0,1,0,19877,78.85,C46,0,1,0,0
989,0,3,29.0,0,0,STON/O 2. 3101268,7.925,B57 B59 B63 B66,1,1,0,0
990,1,3,20.0,0,0,347471,7.8542,B57 B59 B63 B66,0,1,0,0
991,0,3,33.0,0,0,A./5. 3338,8.05,B57 B59 B63 B66,1,1,0,0
992,1,1,43.0,1,0,11778,55.4417,C116,0,0,1,0
993,0,2,27.0,1,0,228414,26.0,B57 B59 B63 B66,1,1,0,0
995,0,3,26.0,0,0,347070,7.775,B57 B59 B63 B66,1,1,0,0
996,1,3,16.0,1,1,2625,8.5167,B57 B59 B63 B66,0,0,1,0
997,0,3,28.0,0,0,C 4001,22.525,B57 B59 B63 B66,1,1,0,0
998,0,3,21.0,0,0,330920,7.8208,B57 B59 B63 B66,1,0,0,1
1002,0,2,41.0,0,0,237734,15.0458,B57 B59 B63 B66,1,0,1,0
1004,1,1,36.0,0,0,PC 17531,31.6792,A29,0,0,1,0
1006,1,1,63.0,1,0,PC 17483,221.7792,C55 C57,0,1,0,0
1007,0,3,18.0,1,0,2680,14.4542,B57 B59 B63 B66,1,0,1,0
1009,1,3,1.0,1,1,PP 9549,16.7,G6,0,1,0,0
1010,0,1,36.0,0,0,13050,75.2417,C6,1,0,1,0
1011,1,2,29.0,1,0,SC/AH 29037,26.0,B57 B59 B63 B66,0,1,0,0
1012,1,2,12.0,0,0,C.A. 33595,15.75,B57 B59 B63 B66,0,1,0,0
1014,1,1,35.0,1,0,13236,57.75,C28,0,0,1,0
1015,0,3,28.0,0,0,392095,7.25,B57 B59 B63 B66,1,1,0,0
1017,1,3,17.0,0,1,371362,16.1,B57 B59 B63 B66,0,1,0,0
1018,0,3,22.0,0,0,350045,7.7958,B57 B59 B63 B66,1,1,0,0
1020,0,2,42.0,0,0,211535,13.0,B57 B59 B63 B66,1,1,0,0
1021,0,3,24.0,0,0,342441,8.05,B57 B59 B63 B66,1,1,0,0
1022,0,3,32.0,0,0,STON/OQ. 369943,8.05,B57 B59 B63 B66,1,1,0,0
1023,0,1,53.0,0,0,113780,28.5,C51,1,0,1,0
1026,0,3,43.0,0,0,349226,7.8958,B57 B59 B63 B66,1,1,0,0
1027,0,3,24.0,0,0,350409,7.8542,B57 B59 B63 B66,1,1,0,0
1029,0,2,26.0,0,0,248659,13.0,B57 B59 B63 B66,1,1,0,0
1030,1,3,23.0,0,0,SOTON/OQ 392083,8.05,B57 B59 B63 B66,0,1,0,0
1031,0,3,40.0,1,6,CA 2144,46.9,B57 B59 B63 B66,1,1,0,0
1032,1,3,10.0,5,2,CA 2144,46.9,B57 B59 B63 B66,0,1,0,0
1033,1,1,33.0,0,0,113781,151.55,B57 B59 B63 B66,0,1,0,0
1034,0,1,61.0,1,3,PC 17608,262.375,B57 B59 B63 B66,1,0,1,0
1035,0,2,28.0,0,0,244358,26.0,B57 B59 B63 B66,1,1,0,0
1036,0,1,42.0,0,0,17475,26.55,B57 B59 B63 B66,1,1,0,0
1037,0,3,31.0,3,0,345763,18.0,B57 B59 B63 B66,1,1,0,0
1039,0,3,22.0,0,0,SC/A4 23568,8.05,B57 B59 B63 B66,1,1,0,0
1041,0,2,30.0,1,1,250651,26.0,B57 B59 B63 B66,1,1,0,0
1042,1,1,23.0,0,1,11767,83.1583,C54,0,0,1,0
1045,1,3,36.0,0,2,350405,12.1833,B57 B59 B63 B66,0,1,0,0
1046,0,3,13.0,4,2,347077,31.3875,B57 B59 B63 B66,1,1,0,0
1047,0,3,24.0,0,0,S.O./P.P. 752,7.55,B57 B59 B63 B66,1,1,0,0
1048,1,1,29.0,0,0,PC 17483,221.7792,C97,0,1,0,0
1049,1,3,23.0,0,0,347469,7.8542,B57 B59 B63 B66,0,1,0,0
1050,0,1,42.0,0,0,110489,26.55,D22,1,1,0,0
1051,1,3,26.0,0,2,SOTON/O.Q. 3101315,13.775,B57 B59 B63 B66,0,1,0,0
1053,0,3,7.0,1,1,2650,15.2458,B57 B59 B63 B66,1,0,1,0
1054,1,2,26.0,0,0,220844,13.5,B57 B59 B63 B66,0,1,0,0
1056,0,2,41.0,0,0,237393,13.0,B57 B59 B63 B66,1,1,0,0
1057,1,3,26.0,1,1,315153,22.025,B57 B59 B63 B66,0,1,0,0
1058,0,1,48.0,0,0,PC 17591,50.4958,B10,1,0,1,0
1059,0,3,18.0,2,2,W./C. 6608,34.375,B57 B59 B63 B66,1,1,0,0
1061,1,3,22.0,0,0,7548,8.9625,B57 B59 B63 B66,0,1,0,0
1063,0,3,27.0,0,0,2670,7.225,B57 B59 B63 B66,1,0,1,0
1064,0,3,23.0,1,0,347072,13.9,B57 B59 B63 B66,1,1,0,0
1066,0,3,40.0,1,5,347077,31.3875,B57 B59 B63 B66,1,1,0,0
1067,1,2,15.0,0,2,29750,39.0,B57 B59 B63 B66,0,1,0,0
1068,1,2,20.0,0,0,C.A. 33112,36.75,B57 B59 B63 B66,0,1,0,0
1069,0,1,54.0,1,0,11778,55.4417,C116,1,0,1,0
1070,1,2,36.0,0,3,230136,39.0,F4,0,1,0,0
1071,1,1,64.0,0,2,PC 17756,83.1583,E45,0,0,1,0
1072,0,2,30.0,0,0,233478,13.0,B57 B59 B63 B66,1,1,0,0
1073,0,1,37.0,1,1,PC 17756,83.1583,E52,1,0,1,0
1074,1,1,18.0,1,0,113773,53.1,D30,0,1,0,0
1076,1,1,27.0,1,1,PC 17558,247.5208,B58 B60,0,0,1,0
1077,0,2,40.0,0,0,239059,16.0,B57 B59 B63 B66,1,1,0,0
1078,1,2,21.0,0,1,S.O./P.P. 2,21.0,B57 B59 B63 B66,0,1,0,0
1079,0,3,17.0,2,0,A/4 48873,8.05,B57 B59 B63 B66,1,1,0,0
1081,0,2,40.0,0,0,28221,13.0,B57 B59 B63 B66,1,1,0,0
1082,0,2,34.0,1,0,226875,26.0,B57 B59 B63 B66,1,1,0,0
1085,0,2,61.0,0,0,235509,12.35,B57 B59 B63 B66,1,0,0,1
1086,0,2,8.0,0,2,28220,32.5,B57 B59 B63 B66,1,1,0,0
1087,0,3,33.0,0,0,347465,7.8542,B57 B59 B63 B66,1,1,0,0
1088,0,1,6.0,0,2,16966,134.5,E34,1,0,1,0
1089,1,3,18.0,0,0,347066,7.775,B57 B59 B63 B66,0,1,0,0
1090,0,2,23.0,0,0,C.A. 31030,10.5,B57 B59 B63 B66,1,1,0,0
1094,0,1,47.0,1,0,PC 17757,227.525,C62 C64,1,0,1,0
1095,1,2,8.0,1,1,26360,26.0,B57 B59 B63 B66,0,1,0,0
1096,0,2,25.0,0,0,C.A. 34050,10.5,B57 B59 B63 B66,1,1,0,0
1098,1,3,35.0,0,0,9232,7.75,B57 B59 B63 B66,0,0,0,1
1099,0,2,24.0,0,0,28034,10.5,B57 B59 B63 B66,1,1,0,0
1100,1,1,33.0,0,0,PC 17613,27.7208,A11,0,0,1,0
1101,0,3,25.0,0,0,349250,7.8958,B57 B59 B63 B66,1,1,0,0
1102,0,3,32.0,0,0,C 4001,22.525,B57 B59 B63 B66,1,1,0,0
1104,0,2,17.0,0,0,S.O.C. 14879,73.5,B57 B59 B63 B66,1,1,0,0
1105,1,2,60.0,1,0,24065,26.0,B57 B59 B63 B66,0,1,0,0
1106,1,3,38.0,4,2,347091,7.775,B57 B59 B63 B66,0,1,0,0
1107,0,1,42.0,0,0,113038,42.5,B11,1,1,0,0
1109,0,1,57.0,1,1,36928,164.8667,B57 B59 B63 B66,1,1,0,0
1110,1,1,50.0,1,1,113503,211.5,C80,0,0,1,0
1112,1,2,30.0,1,0,SC/PARIS 2148,13.8583,B57 B59 B63 B66,0,0,1,0
1113,0,3,21.0,0,0,342684,8.05,B57 B59 B63 B66,1,1,0,0
1114,1,2,22.0,0,0,W./C. 14266,10.5,F33,0,1,0,0
1115,0,3,21.0,0,0,350053,7.7958,B57 B59 B63 B66,1,1,0,0
1116,1,1,53.0,0,0,PC 17606,27.4458,B57 B59 B63 B66,0,0,1,0
1118,0,3,23.0,0,0,350054,7.7958,B57 B59 B63 B66,1,1,0,0
1121,0,2,36.0,0,0,242963,13.0,B57 B59 B63 B66,1,1,0,0
1122,0,2,14.0,0,0,220845,65.0,B57 B59 B63 B66,1,1,0,0
1123,1,1,21.0,0,0,113795,26.55,B57 B59 B63 B66,0,1,0,0
1124,0,3,21.0,1,0,3101266,6.4958,B57 B59 B63 B66,1,1,0,0
1126,0,1,39.0,1,0,PC 17599,71.2833,C85,1,0,1,0
1127,0,3,20.0,0,0,350416,7.8542,B57 B59 B63 B66,1,1,0,0
1128,0,1,64.0,1,0,110813,75.25,D37,1,0,1,0
1129,0,3,20.0,0,0,2679,7.225,B57 B59 B63 B66,1,0,1,0
1130,1,2,18.0,1,1,250650,13.0,B57 B59 B63 B66,0,1,0,0
1131,1,1,48.0,1,0,PC 17761,106.425,C86,0,0,1,0
1132,1,1,55.0,0,0,112377,27.7208,B57 B59 B63 B66,0,0,1,0
1133,1,2,45.0,0,2,237789,30.0,B57 B59 B63 B66,0,1,0,0
1134,0,1,45.0,1,1,16966,134.5,E34,1,0,1,0
1137,0,1,41.0,1,0,17464,51.8625,D21,1,1,0,0
1138,1,2,22.0,0,0,F.C.C. 13534,21.0,B57 B59 B63 B66,0,1,0,0
1139,0,2,42.0,1,1,28220,32.5,B57 B59 B63 B66,1,1,0,0
1140,1,2,29.0,1,0,26707,26.0,B57 B59 B63 B66,0,1,0,0
1143,0,3,20.0,0,0,SOTON/O2 3101284,7.925,B57 B59 B63 B66,1,1,0,0
1144,0,1,27.0,1,0,13508,136.7792,C89,1,0,1,0
1145,0,3,24.0,0,0,7266,9.325,B57 B59 B63 B66,1,1,0,0
1149,0,3,28.0,0,0,363611,8.05,B57 B59 B63 B66,1,1,0,0
1150,1,2,19.0,0,0,28404,13.0,B57 B59 B63 B66,0,1,0,0
1151,0,3,21.0,0,0,345501,7.775,B57 B59 B63 B66,1,1,0,0
1153,0,3,21.0,0,0,350410,7.8542,B57 B59 B63 B66,1,1,0,0
1154,1,2,29.0,0,2,29103,23.0,B57 B59 B63 B66,0,1,0,0
1155,1,3,1.0,1,1,350405,12.1833,B57 B59 B63 B66,0,1,0,0
1156,0,2,30.0,0,0,C.A. 34644,12.7375,B57 B59 B63 B66,1,0,1,0
1161,0,3,17.0,0,0,315095,8.6625,B57 B59 B63 B66,1,1,0,0
1162,0,1,46.0,0,0,13050,75.2417,C6,1,0,1,0
1164,1,1,26.0,1,0,13508,136.7792,C89,0,0,1,0
1167,1,2,20.0,1,0,236853,26.0,B57 B59 B63 B66,0,1,0,0
1168,0,2,28.0,0,0,SC 14888,10.5,B57 B59 B63 B66,1,1,0,0
1169,0,2,40.0,1,0,2926,26.0,B57 B59 B63 B66,1,1,0,0
1170,0,2,30.0,1,0,CA 31352,21.0,B57 B59 B63 B66,1,1,0,0
1171,0,2,22.0,0,0,W./C. 14260,10.5,B57 B59 B63 B66,1,1,0,0
1172,1,3,23.0,0,0,315085,8.6625,B57 B59 B63 B66,0,1,0,0
1175,1,3,9.0,1,1,2650,15.2458,B57 B59 B63 B66,0,0,1,0
1176,1,3,2.0,1,1,370129,20.2125,B57 B59 B63 B66,0,1,0,0
1177,0,3,36.0,0,0,A/5 21175,7.25,B57 B59 B63 B66,1,1,0,0
1179,0,1,24.0,1,0,21228,82.2667,B45,1,1,0,0
1183,1,3,30.0,0,0,382650,6.95,B57 B59 B63 B66,0,0,0,1
1185,0,1,53.0,1,1,33638,81.8583,A34,1,1,0,0
1186,0,3,36.0,0,0,345771,9.5,B57 B59 B63 B66,1,1,0,0
1187,0,3,26.0,0,0,349202,7.8958,B57 B59 B63 B66,1,1,0,0
1188,1,2,1.0,1,2,SC/Paris 2123,41.5792,B57 B59 B63 B66,0,0,1,0
1190,0,1,30.0,0,0,113801,45.5,B57 B59 B63 B66,1,1,0,0
1191,0,3,29.0,0,0,347467,7.8542,B57 B59 B63 B66,1,1,0,0
1192,0,3,32.0,0,0,347079,7.775,B57 B59 B63 B66,1,1,0,0
1194,0,2,43.0,0,1,S.O./P.P. 2,21.0,B57 B59 B63 B66,1,1,0,0
1195,0,3,24.0,0,0,315092,8.6625,B57 B59 B63 B66,1,1,0,0
1197,1,1,64.0,1,1,112901,26.55,B26,0,1,0,0
1198,0,1,30.0,1,2,113781,151.55,C22 C26,1,1,0,0
1200,0,1,55.0,1,1,12749,93.5,B69,1,1,0,0
1201,1,3,45.0,1,0,350026,14.1083,B57 B59 B63 B66,0,1,0,0
1202,0,3,18.0,0,0,315091,8.6625,B57 B59 B63 B66,1,1,0,0
1203,0,3,22.0,0,0,2658,7.225,B57 B59 B63 B66,1,0,1,0
1205,1,3,37.0,0,0,368364,7.75,B57 B59 B63 B66,0,0,0,1
1206,1,1,55.0,0,0,PC 17760,135.6333,C32,0,0,1,0
1207,1,3,17.0,0,0,AQ/3. 30631,7.7333,B57 B59 B63 B66,0,0,0,1
1208,0,1,57.0,1,0,PC 17569,146.5208,B78,1,0,1,0
1209,0,2,19.0,0,0,28004,10.5,B57 B59 B63 B66,1,1,0,0
1210,0,3,27.0,0,0,350408,7.8542,B57 B59 B63 B66,1,1,0,0
1211,0,2,22.0,2,0,C.A. 31029,31.5,B57 B59 B63 B66,1,1,0,0
1212,0,3,26.0,0,0,347075,7.775,B57 B59 B63 B66,1,1,0,0
1213,0,3,25.0,0,0,2654,7.2292,F E57,1,0,1,0
1214,0,2,26.0,0,0,244368,13.0,F2,1,1,0,0
1215,0,1,33.0,0,0,113790,26.55,B57 B59 B63 B66,1,1,0,0
1216,1,1,39.0,0,0,24160,211.3375,B57 B59 B63 B66,0,1,0,0
1217,0,3,23.0,0,0,SOTON/O.Q. 3101309,7.05,B57 B59 B63 B66,1,1,0,0
1218,1,2,12.0,2,1,230136,39.0,F4,0,1,0,0
1219,0,1,46.0,0,0,PC 17585,79.2,B57 B59 B63 B66,1,0,1,0
1220,0,2,29.0,1,0,2003,26.0,B57 B59 B63 B66,1,1,0,0
1221,0,2,21.0,0,0,236854,13.0,B57 B59 B63 B66,1,1,0,0
1222,1,2,48.0,0,2,C.A. 33112,36.75,B57 B59 B63 B66,0,1,0,0
1223,0,1,39.0,0,0,PC 17580,29.7,A18,1,0,1,0
1225,1,3,19.0,1,1,2653,15.7417,B57 B59 B63 B66,0,0,1,0
1226,0,3,27.0,0,0,349229,7.8958,B57 B59 B63 B66,1,1,0,0
1227,0,1,30.0,0,0,110469,26.0,C106,1,1,0,0
1228,0,2,32.0,0,0,244360,13.0,B57 B59 B63 B66,1,1,0,0
1229,0,3,39.0,0,2,2675,7.2292,B57 B59 B63 B66,1,0,1,0
1230,0,2,25.0,0,0,C.A. 31029,31.5,B57 B59 B63 B66,1,1,0,0
1232,0,2,18.0,0,0,C.A. 15185,10.5,B57 B59 B63 B66,1,1,0,0
1233,0,3,32.0,0,0,350403,7.5792,B57 B59 B63 B66,1,1,0,0
1235,1,1,58.0,0,1,PC 17755,512.3292,B51 B53 B55,0,0,1,0
1237,1,3,16.0,0,0,348125,7.65,B57 B59 B63 B66,0,1,0,0
1238,0,2,26.0,0,0,237670,13.0,B57 B59 B63 B66,1,1,0,0
1239,1,3,38.0,0,0,2688,7.2292,B57 B59 B63 B66,0,0,1,0
1240,0,2,24.0,0,0,248726,13.5,B57 B59 B63 B66,1,1,0,0
1241,1,2,31.0,0,0,F.C.C. 13528,21.0,B57 B59 B63 B66,0,1,0,0
1242,1,1,45.0,0,1,PC 17759,63.3583,D10 D12,0,0,1,0
1243,0,2,25.0,0,0,F.C.C. 13540,10.5,B57 B59 B63 B66,1,1,0,0
1244,0,2,18.0,0,0,S.O.C. 14879,73.5,B57 B59 B63 B66,1,1,0,0
1245,0,2,49.0,1,2,220845,65.0,B57 B59 B63 B66,1,1,0,0
1247,0,1,50.0,0,0,113044,26.0,E60,1,1,0,0
1248,1,1,59.0,2,0,11769,51.4792,C101,0,1,0,0
1251,1,3,30.0,1,0,349910,15.55,B57 B59 B63 B66,0,1,0,0
1253,1,2,24.0,1,1,S.C./PARIS 2079,37.0042,B57 B59 B63 B66,0,0,1,0
1254,1,2,31.0,0,0,CA 31352,21.0,B57 B59 B63 B66,0,1,0,0
1255,0,3,27.0,0,0,315083,8.6625,B57 B59 B63 B66,1,1,0,0
1256,1,1,25.0,1,0,11765,55.4417,E50,0,0,1,0
1259,1,3,22.0,0,0,3101295,39.6875,B57 B59 B63 B66,0,1,0,0
1260,1,1,45.0,0,1,112378,59.4,B57 B59 B63 B66,0,0,1,0
1261,0,2,29.0,0,0,SC/PARIS 2147,13.8583,B57 B59 B63 B66,1,0,1,0
1262,0,2,21.0,1,0,28133,11.5,B57 B59 B63 B66,1,1,0,0
1263,1,1,31.0,0,0,16966,134.5,E39 E41,0,0,1,0
1264,0,1,49.0,0,0,112058,0.0,B52 B54 B56,1,1,0,0
1265,0,2,44.0,0,0,248746,13.0,B57 B59 B63 B66,1,1,0,0
1266,1,1,54.0,1,1,33638,81.8583,A34,0,1,0,0
1267,1,1,45.0,0,0,PC 17608,262.375,B57 B59 B63 B66,0,0,1,0
1268,1,3,22.0,2,0,315152,8.6625,B57 B59 B63 B66,0,1,0,0
1269,0,2,21.0,0,0,29107,11.5,B57 B59 B63 B66,1,1,0,0
1270,0,1,55.0,0,0,680,50.0,C39,1,1,0,0
1271,0,3,5.0,4,2,347077,31.3875,B57 B59 B63 B66,1,1,0,0
1273,0,3,26.0,0,0,330910,7.8792,B57 B59 B63 B66,1,0,0,1
1275,1,3,19.0,1,0,376566,16.1,B57 B59 B63 B66,0,1,0,0
1277,1,2,24.0,1,2,220845,65.0,B57 B59 B63 B66,0,1,0,0
1278,0,3,24.0,0,0,349911,7.775,B57 B59 B63 B66,1,1,0,0
1279,0,2,57.0,0,0,244346,13.0,B57 B59 B63 B66,1,1,0,0
1280,0,3,21.0,0,0,364858,7.75,B57 B59 B63 B66,1,0,0,1
1281,0,3,6.0,3,1,349909,21.075,B57 B59 B63 B66,1,1,0,0
1282,0,1,23.0,0,0,12749,93.5,B24,1,1,0,0
1283,1,1,51.0,0,1,PC 17592,39.4,D28,0,1,0,0
1284,0,3,13.0,0,2,C.A. 2673,20.25,B57 B59 B63 B66,1,1,0,0
1285,0,2,47.0,0,0,C.A. 30769,10.5,B57 B59 B63 B66,1,1,0,0
1286,0,3,29.0,3,1,315153,22.025,B57 B59 B63 B66,1,1,0,0
1287,1,1,18.0,1,0,13695,60.0,C31,0,1,0,0
1288,0,3,24.0,0,0,371109,7.25,B57 B59 B63 B66,1,0,0,1
1289,1,1,48.0,1,1,13567,79.2,B41,0,0,1,0
1290,0,3,22.0,0,0,347065,7.775,B57 B59 B63 B66,1,1,0,0
1291,0,3,31.0,0,0,21332,7.7333,B57 B59 B63 B66,1,0,0,1
1292,1,1,30.0,0,0,36928,164.8667,C7,0,1,0,0
1293,0,2,38.0,1,0,28664,21.0,B57 B59 B63 B66,1,1,0,0
1294,1,1,22.0,0,1,112378,59.4,B57 B59 B63 B66,0,0,1,0
1295,0,1,17.0,0,0,113059,47.1,B57 B59 B63 B66,1,1,0,0
1296,0,1,43.0,1,0,17765,27.7208,D40,1,0,1,0
1297,0,2,20.0,0,0,SC/PARIS 2166,13.8625,D38,1,0,1,0
1298,0,2,23.0,1,0,28666,10.5,B57 B59 B63 B66,1,1,0,0
1299,0,1,50.0,1,1,113503,211.5,C80,1,0,1,0
1301,1,3,3.0,1,1,SOTON/O.Q. 3101315,13.775,B57 B59 B63 B66,0,1,0,0
1303,1,1,37.0,1,0,19928,90.0,C78,0,0,0,1
1304,1,3,28.0,0,0,347086,7.775,B57 B59 B63 B66,0,1,0,0
1306,1,1,39.0,0,0,PC 17758,108.9,C105,0,0,1,0
